Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.symbol	Gene.name	Gene.description	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
S000002989	YGL021W	ALK1	""	Atypical protein kinase; along with paralog, ALK2, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of formins and polarisome components in mitosis, and survival after spindle assembly checkpoint delay; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins	Verified	chrVII	454785	457067	1
S000002990	YGL022W	STT3	STaurosporine and Temperature sensitive	Catalytic subunit of the oligosaccharyltransferase (OST) complex; the OST complex catalyzes asparagine-linked glycosylation of newly synthesized proteins in the ER lumen; involved in recognition of N-acetylglucosamine; forms a subcomplex with Ost3p and Ost4p	Verified	chrVII	452404	454560	1
S000002991	YGL023C	PIB2	PtdIns(3)p-Binding	Phosphatidylinositol 3-phosphate binding protein; formation of a distinct complex with TORC1, induced by glutamine in dose-dependent manner, results in TORC1 activation, suggesting dual roles as both a glutamine sensor and a direct TORC1 activator; involved in leucine- and glutamine-responsive TORC1 activation, independent of the Gtr/Ego pathway; related to human PLEKHF1, a lysosomal membrane permeabilization regulator; contains a PtdIns3P binding FYVE domain; similar to Fab1p and Vps27p	Verified	chrVII	450197	452104	-1
S000002992	YGL024W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF PGD1/YGL025C	Dubious	chrVII	449788	450123	1
S000002993	YGL025C	PGD1	PolyGlutamine Domain	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor	Verified	chrVII	448764	449957	-1
S000002994	YGL026C	TRP5	TRyPtophan	Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis	Verified	chrVII	446412	448535	-1
S000002995	YGL027C	CWH41	Calcofluor White Hypersensitive	Processing alpha glucosidase I; ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress	Verified	chrVII	443642	446143	-1
S000002996	YGL028C	SCW11	Soluble Cell Wall protein	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p	Verified	chrVII	441281	442909	-1
S000002997	YGL029W	CGR1	Coiled-coil Growth-Regulated	Protein involved in nucleolar integrity and processing of pre-rRNA; has a role in processing rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress; relocalizes from nucleus to nucleolus upon DNA replication stress	Verified	chrVII	440063	440425	1
S000002998	YGL030W	RPL30	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog	Verified	chrVII	439091	439638	1
S000002999	YGL031C	RPL24A	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L24A; forms two bridges within ribosome, stimulates translation initiation and elongation; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24A has a paralog, RPL24B, that arose from the whole genome duplication	Verified	chrVII	437467	437934	-1
S000003000	YGL032C	AGA2	a-AGglutinin	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds	Verified	chrVII	436570	436833	-1
S000003001	YGL033W	HOP2	HOmologous Pairing	Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion	Verified	chrVII	435625	436401	1
S000003002	YGL034C	""	""	Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene	Uncharacterized	chrVII	433214	433579	-1
S000003003	YGL035C	MIG1	Multicopy Inhibitor of GAL gene expression	Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization, shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state	Verified	chrVII	431548	433062	-1
S000003004	YGL036W	VIR1	budding yeast ortholog of VIRMA/Virilizer/VIR	Protein required for mRNA m6A methylation and meiosis; subunit of the m6A methyltransferase (MIS) complex; required for the stability of MIS complex subunits and may therefore have a scaffolding function; non-essential gene required for pre-meiotic S-phase; may be required to initiate the meiotic program, for progression through meiotic divisions and for spore formation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; homolog of VIRMA/virilizer/VIR	Verified	chrVII	428601	431330	1
S000003005	YGL037C	PNC1	Pyrazinamidase and NiCotinamidase	Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress	Verified	chrVII	427297	427947	-1
S000003006	YGL038C	OCH1	Outer CHain elongation	Mannosyltransferase of the cis-Golgi apparatus; initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins	Verified	chrVII	425362	426804	-1
S000003007	YGL039W	""	""	Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols	Verified	chrVII	423961	425007	1
S000003008	YGL040C	HEM2	HEMe biosynthesis	Aminolevulinate dehydratase; a homo-octameric enzyme, catalyzes the conversion of 5-aminolevulinate to porphobilinogen, the second step in heme biosynthesis; enzymatic activity is zinc-dependent; localizes to the cytoplasm and nucleus; human homolog ALAD can complement yeast hem2 mutant	Verified	chrVII	419527	420555	-1
S000003009	YGL041C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrVII	419022	419225	-1
S000003010	YGL042C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; deletion mutation blocks replication of Brome mosaic virus in S. cerevisiae, but this is likely due to effects on the overlapping gene DST1	Dubious	chrVII	418288	418593	-1
S000003011	YGL043W	DST1	DNA Strand Transfer	General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress	Verified	chrVII	417483	418412	1
S000003012	YGL044C	RNA15	poly(A) mRNA metabolism	Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability	Verified	chrVII	416146	417036	-1
S000003013	YGL045W	RIM8	Regulator of IME2	Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family	Verified	chrVII	414102	415730	1
S000003015	YGL047W	ALG13	Asparagine-Linked Glycosylation	Catalytic component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases; protein abundance increases in response to DNA replication stress; both human homologs ALG13 and ALG14 are required to complement yeast alg13 mutant	Verified	chrVII	411552	412160	1
S000003016	YGL048C	RPT6	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase	ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle; protein abundance increases in response to DNA replication stress	Verified	chrVII	410069	411286	-1
S000003017	YGL049C	TIF4632	Translation Initiation Factor	Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated, translation	Verified	chrVII	406860	409604	-1
S000003018	YGL050W	TYW3	Trna-YW synthesizing protein	tRNA methyltransferase required for synthesis of wybutosine; a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions	Verified	chrVII	405776	406597	1
S000003019	YGL051W	MST27	Multicopy suppressor of Sec Twenty-one	Putative integral membrane protein, involved in vesicle formation; forms complex with Mst28p; member of DUP240 gene family; binds COPI and COPII vesicles; MST27 has a paralog, MST28, that arose from a segmental duplication	Verified	chrVII	403687	404391	1
S000003020	YGL052W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MST27	Dubious	chrVII	403437	403742	1
S000003021	YGL053W	PRM8	Pheromone-Regulated Membrane protein	Pheromone-regulated protein; contains with 2 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; forms a complex with Prp9p in the ER; member of DUP240 gene family; PRM8 has a paralog, PRM9, that arose from a segmental duplication	Verified	chrVII	402589	403302	1
S000003022	YGL054C	ERV14	ER Vesicle	COPII-coated vesicle protein; involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p and Nha1p antiporter to cell surface; related to Drosophila cornichon; ERV14 has a paralog, ERV15, that arose from the whole genome duplication	Verified	chrVII	400871	401287	-1
S000003023	YGL055W	OLE1	OLEic acid requiring	Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria	Verified	chrVII	398628	400160	1
S000003024	YGL056C	SDS23	homolog of S. pombe SDS23	Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; SDS23 has a paralog, SDS24, that arose from the whole genome duplication	Verified	chrVII	396035	397618	-1
S000003025	YGL057C	GEP7	GEnetic interactors of Prohibitins	Protein of unknown function; null mutant exhibits a respiratory growth defect and synthetic interactions with prohibitin (phb1) and gem1; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Verified	chrVII	394966	395829	-1
S000003026	YGL058W	RAD6	RADiation sensitive	Ubiquitin-conjugating enzyme (E2); involved in postreplication repair as a heterodimer with Rad18p, regulation of K63 polyubiquitination in response to oxidative stress, DSBR and checkpoint control as a heterodimer with Bre1p, ubiquitin-mediated N-end rule protein degradation as a heterodimer with Ubr1p, ERAD with Ubr1p in the absence of canonical ER membrane ligases, and Rpn4p turnover as part of proteasome homeostasis, in complex with Ubr2p and Mub1p	Verified	chrVII	393986	394504	1
S000003027	YGL059W	PKP2	Protein Kinase of PDH	Mitochondrial protein kinase; negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p; relocalizes from mitochondrion to cytoplasm upon DNA replication stress	Verified	chrVII	392223	393698	1
S000003028	YGL060W	YBP2	Yap1-Binding Protein	Central kinetochore associated protein; mediates mitotic progression; interacts with several central kinetochore proteins and centromeric histone Cse4p; role in resistance to oxidative stress; similar to Slk19p; YBP2 has a paralog, YBP1, that arose from the whole genome duplication	Verified	chrVII	390065	391990	1
S000003029	YGL061C	DUO1	Death Upon Overproduction	Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Dam1p and Pse1p to connect the DASH complex with microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis	Verified	chrVII	388968	389711	-1
S000003030	YGL062W	PYC1	PYruvate Carboxylase	Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc2p; mutations in the human homolog are associated with lactic acidosis; PYC1 has a paralog, PYC2, that arose from the whole genome duplication	Verified	chrVII	385196	388732	1
S000003031	YGL063W	PUS2	PseudoUridine Synthase	Mitochondrial tRNA:pseudouridine synthase; acts at positions 27 and 28, but not at position 72; efficiently and rapidly targeted to mitochondria, specifically dedicated to mitochondrial tRNA modification; mutation also affects pseudouridylation of some nuclear-encoded mRNAs; PUS2 has a paralog, PUS1, that arose from the whole genome duplication	Verified	chrVII	383654	384766	1
S000003032	YGL064C	MRH4	Mitochondrial RNA Helicase	Mitochondrial ATP-dependent RNA helicase of the DEAD-box family; required for assembly of the large subunit of mitochondrial ribosomes; binds to the large subunit rRNA, 21S_rRNA; localizes to the matrix face of the mitochondrial inner membrane and associates with the large subunit precursor and with mature ribosomes	Verified	chrVII	381523	383208	-1
S000003033	YGL065C	ALG2	Asparagine-Linked Glycosylation	Mannosyltransferase in the N-linked glycosylation pathway; catalyzes two consecutive steps in N-linked glycosylation pathway; mutants exhibit temperature-sensitive growth and abnormal accumulation of lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol; mutations of human ALG2 cause congenital myasthenic syndrome; human ALG2 complements temperature sensitivity and dolichol-linked oligosaccharide biosynthesis defect of alg2-1 mutant, but mutant form from a patient with CDG-Ii fails to complement	Verified	chrVII	379760	381271	-1
S000003034	YGL066W	SGF73	SaGa associated Factor, 73 kDa	Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes, maintaining organization and ubiquitin-binding conformation of Ubp8p, thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia, and can complement yeast null mutant	Verified	chrVII	377609	379582	1
S000003035	YGL067W	NPY1	NADH PYrophosphatase	NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; enzymatic component of one of several partly redundant surveillance pathways involved in decapping of non-canonical nicotinamide adenine dinucleotide (NAD) capped nuclear mRNAs (NAD-RNAs); also possesses deCoAping activity involved in the decapping of non-canonical dephospho-CoA capped RNA (dpCoA-RNA); nudix hydrolase family member	Verified	chrVII	376101	377255	1
S000003036	YGL068W	MNP1	Mitochondrial-Nucleoid Protein	Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L7/L12 and human MRPL7 ribosomal proteins; associates with the mitochondrial nucleoid; required for normal respiratory growth	Verified	chrVII	375087	375671	1
S000003037	YGL069C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 92% of ORF overlaps the uncharacterized ORF YGL068W; deletion in cyr1 mutant results in loss of stress resistance	Dubious	chrVII	375050	375514	-1
S000003038	YGL070C	RPB9	RNA Polymerase B	RNA polymerase II subunit B12.6; contacts DNA; mutations affect transcription start site selection and fidelity of transcription; positively regulates ATG1 transcription as a key regulator of autophagy	Verified	chrVII	374459	374827	-1
S000003039	YGL071W	AFT1	Activator of Ferrous Transport	Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress	Verified	chrVII	372012	374084	1
S000003040	YGL072C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HSF1; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2	Dubious	chrVII	371003	371362	-1
S000003041	YGL073W	HSF1	Heat Shock transcription Factor	Trimeric heat shock transcription factor; activates multiple genes in response to diverse stresses and transient intracellular acidification; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; role in preventing L-A mycovirus pathogenesis; human homolog HSF1 with linker region mutations can complement yeast hsf1 mutant	Verified	chrVII	368753	371254	1
S000003042	YGL074C	""	""	Dubious open reading frame unlikely to encode a functional protein; overlaps 5' end of essential HSF1 gene encoding heat shock transcription factor	Dubious	chrVII	368596	368922	-1
S000003043	YGL075C	MPS2	MonoPolar Spindle	Essential membrane protein localized at nuclear envelope and SPBs; required for insertion of the newly duplicated spindle pole body into the nuclear envelope; potentially phosphorylated by Cdc28p; MPS2 has a paralog, CSM4, that arose from the whole genome duplication	Verified	chrVII	366925	368088	-1
S000003044	YGL076C	RPL7A	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication	Verified	chrVII	364335	365996	-1
S000003045	YGL077C	HNM1	Hyper-resistance to Nitrogen Mustard	Plasma membrane transporter for choline, ethanolamine, and carnitine; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol	Verified	chrVII	362225	363916	-1
S000003046	YGL078C	DBP3	Dead Box Protein	RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype	Verified	chrVII	360288	361859	-1
S000003047	YGL079W	KXD1	KxDL homolog	Subunit of the BLOC-1 complex involved in endosomal maturation; null mutant is sensitive to drug inducing secretion of vacuolar cargo; GFP-fusion protein localizes to the endosome	Verified	chrVII	359444	360100	1
S000003048	YGL080W	MPC1	Mitochondrial Pyruvate Carrier	Highly conserved subunit of mitochondrial pyruvate carrier (MPC); MPC is a mitochondrial inner membrane complex that mediates pyruvate uptake and comprises Mpc1p and Mpc2p during fermentative growth, or Mcp1p and Mpc3p during respiratory growth; null mutant displays slow growth that is complemented by expression of human or mouse ortholog; mutation in human ortholog MPC1 is associated with lactic acidosis and hyperpyruvatemia	Verified	chrVII	358636	359028	1
S000003049	YGL081W	""	""	Putative protein of unknown function; non-essential gene; interacts genetically with CHS5, a gene involved in chitin biosynthesis	Uncharacterized	chrVII	357377	358339	1
S000003050	YGL082W	""	""	Putative protein of unknown function; MINDY family deubiquitinase that does not appear to contain catalytic activity; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; not an essential gene; YGL082W has a paralog, YPL191C, that arose from the whole genome duplication; ortholog of human MINDY1/FAM63A	Uncharacterized	chrVII	355827	356972	1
S000003051	YGL083W	SCY1	""	Putative kinase; suppressor of GTPase mutant; similar to bovine rhodopsin kinase; may have a role in intracellular sterol transport	Verified	chrVII	353058	355472	1
S000003052	YGL084C	GUP1	Glycerol UPtake	Plasma membrane protein involved in remodeling GPI anchors; member of the MBOAT family of putative membrane-bound O-acyltransferases; role in misfolded protein quality control; proposed to be involved in glycerol transport; homolog of the mammalian Hedgehog pathway modulator HHATL; GUP1 has a paralog, GUP2, that arose from the whole genome duplication	Verified	chrVII	350616	352298	-1
S000003053	YGL085W	LCL3	Long Chronological Lifespan	Putative protein of unknown function; mutant has long chronological lifespan; has homology to Staphylococcus aureus nuclease; GFP-fusion protein localizes to mitochondria; is induced in response to the DNA-damaging agent MMS	Uncharacterized	chrVII	349616	350440	1
S000003054	YGL086W	MAD1	Mitotic Arrest-Deficient	Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability	Verified	chrVII	347119	349368	1
S000003055	YGL087C	MMS2	Methyl MethaneSulfonate sensitivity	Ubiquitin-conjugating enzyme variant; involved in error-free postreplication repair; forms a heteromeric complex with Ubc13p, an active ubiquitin-conjugating enzyme; cooperates with chromatin-associated RING finger proteins, Rad18p and Rad5p; protein abundance increases in response to DNA replication stress	Verified	chrVII	346406	346904	-1
S000003056	YGL088W	""	""	Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps snR10, a snoRNA required for preRNA processing	Uncharacterized	chrVII	345836	346201	1
S000003057	YGL089C	MF(ALPHA)2	Mating Factor ALPHA	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions	Verified	chrVII	344791	345153	-1
S000003058	YGL090W	LIF1	Ligase Interacting Factor	Component of the DNA ligase IV complex; this complex mediates nonhomologous end joining in DNA double-strand break repair; sumoylated by Siz1p and Nfi1p SUMO ligases on Lys301; physically interacts with Dnl4p and Nej1p; homologous to mammalian XRCC4 protein	Verified	chrVII	343319	344584	1
S000003059	YGL091C	NBP35	Nucleotide Binding Protein	Essential cytoplasmic iron-sulfur cluster binding protein; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases	Verified	chrVII	342056	343042	-1
S000003060	YGL092W	NUP145	NUclear Pore	Essential protein with distinct roles in two nuclear pore subcomplexes; catalyzes its own proteolytic cleavage in vivo to generate a C-terminal fragment that is a structural component of the Nup84p subcomplex (with roles in NPC biogenesis and localization of genes to the nuclear periphery), and an N-terminal fragment that is one of several FG-nucleoporins within the NPC central core directly responsible for nucleocytoplasmic transport; homologous to human NUP98	Verified	chrVII	337906	341859	1
S000003061	YGL093W	SPC105	Spindle Pole Component	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation	Verified	chrVII	334886	337639	1
S000003062	YGL094C	PAN2	Poly(A)-binding protein-dependent poly(A) riboNuclease	Catalytic subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex; complex acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes	Verified	chrVII	331118	334465	-1
S000003063	YGL095C	VPS45	Vacuolar Protein Sorting	Protein of the Sec1p/Munc-18 family; essential for vacuolar protein sorting; required for the function of Pep12p and the early endosome/late Golgi SNARE Tlg2p; essential for fusion of Golgi-derived vesicles with the prevacuolar compartment; mutation in human VPS45 is associated with congenital neutropenia and primary myelofibrosis of infancy	Verified	chrVII	328874	330607	-1
S000003064	YGL096W	TOS8	Target Of Sbf	Homeodomain-containing protein and putative transcription factor; found associated with chromatin; target of SBF transcription factor; induced during meiosis and under cell-damaging conditions; TOS8 has a paralog, CUP9, that arose from the whole genome duplication	Verified	chrVII	325331	326161	1
S000003065	YGL097W	SRM1	Suppressor of Receptor Mutations	Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant	Verified	chrVII	321782	323230	1
S000003066	YGL098W	USE1	Unconventional SNARE in the ER	Essential SNARE protein localized to the ER; involved in retrograde traffic from the Golgi to the ER and Sey1p-independent homotypic ER fusion; required for efficient nuclear fusion during mating; forms a complex with the SNAREs Sec22p, Sec20p and Ufe1p	Verified	chrVII	317342	318079	1
S000003067	YGL099W	LSG1	Large-Subunit Gtpase	Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm	Verified	chrVII	314631	316553	1
S000003068	YGL100W	SEH1	SEc13 Homolog	Subunit of the Nup84 nuclear pore and SEACAT subcomplexes; involved in nucleocytoplasmic transport and NPC biogenesis in the nuclear pore subcomplex; subunit of SEACAT, a subcomplex of the SEA complex that inhibits the TORC1 inhibitory role of SEACIT (Iml1p-Npr2p-Npr3p), a GAP for Gtr1p in response to amino acid limitation, thereby resulting in activation of TORC1 signaling; SEA is a coatomer-related complex that associates dynamically with the vacuole; human SEH1 homolog	Verified	chrVII	313234	314283	1
S000003069	YGL101W	YGK1	""	5'-deoxynucleotidase; non-essential gene involved in deoxyribonucleoside monophosphate degradation; interacts with the DNA helicase Hpr5p; YGL101W has a paralog, YBR242W, that arose from the whole genome duplication	Verified	chrVII	312193	312840	1
S000003070	YGL102C	""	""	Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential RPL28 gene encoding a large subunit ribosomal protein	Dubious	chrVII	311505	311933	-1
S000003071	YGL103W	RPL28	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance	Verified	chrVII	310967	311927	1
S000003072	YGL104C	VPS73	Vacuolar Protein Sorting	Mitochondrial protein; mutation affects vacuolar protein sorting; putative transporter; member of the sugar porter family; VPS73 has a paralog, YBR241C, that arose from the whole genome duplication	Verified	chrVII	308713	310173	-1
S000003073	YGL105W	ARC1	Aminoacyl-tRNA synthetase Cofactor	Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p	Verified	chrVII	307437	308567	1
S000003074	YGL106W	MLC1	Myosin Light Chain	Essential light chain for Myo1p; light chain for Myo2p; stabilizes Myo2p by binding to the neck region; interacts with Myo1p, Iqg1p, and Myo2p to coordinate formation and contraction of the actomyosin ring with targeted membrane deposition	Verified	chrVII	306560	307009	1
S000003075	YGL107C	RMD9	Required for Meiotic nuclear Division	Mitochondrial protein that controls mitochondrial gene expression; binds the dodecamer element in mitochondrial mRNAs, facilitates processing and delivery of mitochondrial mRNAs to ribosomes; located on matrix face of the inner membrane and loosely associated with mitoribosomes; RMD9 has a paralog, YBR238C, that arose from the whole genome duplication	Verified	chrVII	304333	306273	-1
S000003076	YGL108C	""	""	Protein of unknown function, predicted to be palmitoylated; SWAT-GFP, seamless-GFP and mCherry C-terminal fusion proteins localize to the cytosol, while N-terminal GFP fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress	Verified	chrVII	303649	304071	-1
S000003077	YGL109W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the uncharacterized gene YGL108C	Dubious	chrVII	303513	303836	1
S000003078	YGL110C	CUE3	Coupling of Ubiquitin conjugation to ER degradation	Subunit of ribosome-associated quality control trigger complex (RQT); has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination	Verified	chrVII	301537	303411	-1
S000003079	YGL111W	NSA1	Nop Seven Associated	Constituent of 66S pre-ribosomal particles; involved in 60S ribosomal subunit biogenesis	Verified	chrVII	299978	301369	1
S000003080	YGL112C	TAF6	TATA binding protein-Associated Factor	Subunit (60 kDa) of TFIID and SAGA complexes; involved in transcription initiation of RNA polymerase II and in chromatin modification, similar to histone H4; relocalizes to the cytosol in response to hypoxia	Verified	chrVII	298178	299728	-1
